,Company Name,CIK
667,COMFORT SYSTEMS USA INC,1035983
668,COMMAND SECURITY CORP,864509
669,COMMERCE BANCSHARES INC /MO/,22356
670,COMMERCIAL BANCSHARES INC \OH\,1009976
671,COMMERCIAL METALS CO,22444
672,COMMERCIAL NATIONAL FINANCIAL CORP /PA,866054
673,COMMERCIAL NET LEASE REALTY INC,751364
674,COMMONWEALTH EDISON CO,22606
675,COMMONWEALTH INCOME & GROWTH FUND IV,1141615
676,COMMUNICATION INTELLIGENCE CORP,727634
677,COMMUNICATIONS SYSTEMS INC,22701
678,COMMUNITY BANCORP /VT,718413
679,COMMUNITY BANK SHARES OF INDIANA INC,933590
680,COMMUNITY BANK SYSTEM INC,723188
681,COMMUNITY FINANCIAL CORP /VA/,850606
682,COMMUNITY HEALTH SYSTEMS INC,1108109
683,COMMUNITY TRUST BANCORP INC /KY/,350852
684,COMMUNITY WEST BANCSHARES /,1051343
685,COMPASS MINERALS INTERNATIONAL INC,1227654
686,COMPETITIVE TECHNOLOGIES INC,102198
687,COMPREHENSIVE CARE CORP,22872
688,COMPUTER ASSOCIATES INTERNATIONAL INC,356028
689,COMPUTER PROGRAMS & SYSTEMS INC,1169445
690,COMPUTER SCIENCES CORP,23082
691,COMPUTER TASK GROUP INC,23111
692,COMPUWARE CORP,859014
693,COMPX INTERNATIONAL INC,1049606
694,COMSTOCK RESOURCES INC,23194
695,COMTECH TELECOMMUNICATIONS CORP /DE/,23197
696,CONAGRA FOODS INC /DE/,23217
697,CONCEPTUS INC,896778
698,CONCUR TECHNOLOGIES INC,1066026
699,CONCURRENT COMPUTER CORP/DE,749038
700,CONEXANT SYSTEMS INC,1069353
701,CONMED CORP,816956
702,CONNECTICUT LIGHT & POWER CO,23426
703,CONNECTICUT WATER SERVICE INC / CT,276209
704,CONOCOPHILLIPS,1163165
705,CONSECO INC,1224608
706,CONSOL ENERGY INC,1070412
707,CONSOLIDATED CAPITAL PROPERTIES IV,355804
708,CONSOLIDATED EDISON CO OF NEW YORK INC,23632
709,CONSOLIDATED EDISON INC,1047862
710,CONSOLIDATED GRAPHICS INC /TX/,921500
711,CONSOLIDATED TOMOKA LAND CO,23795
712,"CONSTELLATION BRANDS, INC.",16918
713,CONSTELLATION ENERGY GROUP INC,1004440
714,CONSUMER PORTFOLIO SERVICES INC,889609
715,CONSUMERS BANCORP INC /OH/,1006830
716,CONSUMERS ENERGY CO,201533
717,CONTANGO OIL & GAS CO,1071993
718,CONTINENTAL AIRLINES INC /DE/,319687
719,CONVERGYS CORP,1062047
720,COOPER CAMERON CORP,941548
721,COOPER COMPANIES INC,711404
722,COOPER TIRE & RUBBER CO,24491
723,COPART INC,900075
724,CORCEPT THERAPEUTICS INC,1088856
725,CORE LABORATORIES N V,1000229
726,CORE MOLDING TECHNOLOGIES INC,1026655
727,CORINTHIAN COLLEGES INC,1066134
728,CORN PRODUCTS INTERNATIONAL INC,1046257
729,CORNERSTONE REALTY FUND LLC,1073149
730,CORNING INC /NY,24741
731,CORPORATE EXECUTIVE BOARD CO,1066104
732,CORPORATE OFFICE PROPERTIES TRUST,860546
733,CORPORATE PROPERTY ASSOCIATES 15 INC,1138301
734,CORPORATE PROPERTY ASSOCIATES 16 GLOBAL INC,1250873
735,CORRECTIONS CORP OF AMERICA,1070985
736,CORTEX PHARMACEUTICALS INC/DE/,849636
737,CORTLAND BANCORP INC,774569
738,CORVEL CORP,874866
739,COSI INC,1171014
740,COSTAR GROUP INC,1057352
741,COSTCO WHOLESALE CORP /NEW,909832
742,COTT CORP /CN/,884713
743,COURIER CORP,25212
744,COUSINS PROPERTIES INC,25232
745,COVALENT GROUP INC,856569
746,COVANCE INC,1023131
747,COVENANT TRANSPORT INC,928658
748,COVENTRY HEALTH CARE INC,1054833
749,COVER ALL TECHNOLOGIES INC,737300
750,CRANE CO /DE/,25445
751,CRAWFORD & CO,25475
752,CREE INC,895419
753,CRITICAL THERAPEUTICS INC,1145404
754,CROFF ENTERPRISES INC,25743
755,CROGHAN BANCSHARES INC,887149
756,CROMPTON CORP,1091862
757,CROSS A T CO,25793
758,CROSS COUNTRY HEALTHCARE INC,1141103
759,CROSSROADS SYSTEMS INC,1093207
760,CROSSTEX ENERGY INC,1209821
761,CROWN CASTLE INTERNATIONAL CORP,1051470
762,CROWN CRAFTS INC,25895
763,CROWN HOLDINGS INC,1219601
764,CRYOLIFE INC,784199
765,CSB BANCORP INC /OH,880417
766,CSG SYSTEMS INTERNATIONAL INC,1005757
767,CSS INDUSTRIES INC,20629
768,CSX CORP,277948
769,CTS CORP,26058
770,CUBIC CORP /DE/,26076
771,CUBIST PHARMACEUTICALS INC,912183
772,CULLEN FROST BANKERS INC,39263
773,CULP INC,723603
774,CUMMINS INC,26172
775,CUMULUS MEDIA INC,1058623
776,CURIS INC,1108205
777,CURTISS WRIGHT CORP,26324
778,CUTERA INC,1162461
779,CVB FINANCIAL CORP,354647
780,CVS CORP,64803
781,CYANOTECH CORP,768408
782,CYBERONICS INC,864683
783,CYBEROPTICS CORP,768411
784,CYBEX INTERNATIONAL INC,60876
785,CYMER INC,897067
786,CYPRESS SEMICONDUCTOR CORP /DE/,791915
787,CYTEC INDUSTRIES INC/DE/,912513
788,CYTOKINETICS INC,1061983
789,CYTRX CORP,799698
790,CALAMP CORP.,730255
791,"CALAMOS ASSET MANAGEMENT, INC. /DE/",1299033
792,CELANESE CORP,1306830
793,"COMMERCIAL VEHICLE GROUP, INC.",1290900
794,"COMSTOCK HOMEBUILDING COMPANIES, INC.",1299969
795,DAILY JOURNAL CORP,783412
796,DAKTRONICS INC /SD/,915779
797,DANA CORP,26780
798,DANAHER CORP /DE/,313616
799,DANIELSON HOLDING CORP,225648
800,DARLING INTERNATIONAL INC,916540
801,DATA I/O CORP,351998
802,DATALINK CORP,1056923
803,DATARAM CORP,27093
804,DATAWATCH CORP,792130
805,DAVEY TREE EXPERT CO,277638
806,DAVITA INC,927066
807,DAWSON GEOPHYSICAL CO,351231
808,DAYTON POWER & LIGHT CO,27430
809,DCB FINANCIAL CORP,1025877
810,DDI CORP,1104252
811,DEAN FOODS CO/,931336
812,DECKERS OUTDOOR CORP,910521
813,DEERE & CO,315189
814,DEERE JOHN CAPITAL CORP,27673
815,DEL GLOBAL TECHNOLOGIES CORP,27748
816,DEL TACO INCOME PROPERTIES IV,812630
817,DEL TACO RESTAURANT PROPERTIES I,711213
818,DEL TACO RESTAURANT PROPERTIES II,749153
819,DEL TACO RESTAURANT PROPERTIES III,786360
820,DELL INC,826083
821,DELMARVA POWER & LIGHT CO /DE/,27879
822,DELPHI FINANCIAL GROUP INC/DE,859139
823,DELTA AIR LINES INC /DE/,27904
824,DELTA APPAREL INC,1101396
825,DELTA NATURAL GAS CO INC,277375
826,DELTA PETROLEUM CORP/CO,821483
827,DELTATHREE INC,1086740
828,DELTIC TIMBER CORP,1022469
829,DELUXE CORP,27996
830,DENBURY RESOURCES INC,945764
831,DENDREON CORP,1107332
832,DENMARK BANCSHARES INC,885531
833,DENNYS CORP,852772
834,DENTSPLY INTERNATIONAL INC /DE/,818479
835,DEPOMED INC,1005201
836,DETONICS SMALL ARMS LTD,351397
837,DETROIT EDISON CO,28385
838,DEVELOPERS DIVERSIFIED REALTY CORP,894315
839,DEVON ENERGY CORP/DE,1090012
840,DEVRY INC,730464
841,DEWEY ELECTRONICS CORP,28561
842,DIAMOND OFFSHORE DRILLING INC,949039
843,DIASENSE INC/PA,895650
844,DICKS SPORTING GOODS INC,1089063
845,DIEBOLD INC,28823
846,DIGI INTERNATIONAL INC,854775
847,DIGIRAD CORP,707388
848,DIGITAL GENERATION SYSTEMS INC,934448
849,DIGITAL RIVER INC /DE,1062530
850,DIGITAL THEATER SYSTEMS INC,1226308
851,DIME COMMUNITY BANCSHARES INC,1005409
852,DIMECO INC,898037
853,DIMON INC,939930
854,DIODES INC /DEL/,29002
855,DIRECTV FINANCING CO INC,1234307
856,DISCOVERY LABORATORIES INC /DE/,946486
857,DISCOVERY PARTNERS INTERNATIONAL INC,1113148
858,DITECH COMMUNICATIONS CORP,1080667
859,DIVALL INSURED INCOME PROPERTIES 2 LIMITED PARTNERSHIP,825788
860,DIVERSA CORP,1049210
861,DIVIDEND CAPITAL TRUST INC,1170991
862,DIXIE GROUP INC,29332
863,DNB FINANCIAL CORP /PA/,713671
864,DOLLAR FINANCIAL CORP,1271625
865,DOLLAR THRIFTY AUTOMOTIVE GROUP INC,1049108
866,DOMINION RESOURCES INC /VA/,715957
867,DOMINOS PIZZA INC,1286681
868,DONALDSON CO INC,29644
869,DONEGAL GROUP INC,800457
870,DORAL FINANCIAL CORP,840889
871,DOT HILL SYSTEMS CORP,1042783
872,DOVER CORP,29905
873,DOVER DOWNS GAMING & ENTERTAINMENT INC,1162556
874,DOVER MOTORSPORTS INC,1017673
875,DOW CHEMICAL CO /DE/,29915
876,DPL INC,787250
877,DREW INDUSTRIES INC,763744
878,DRIL-QUIP INC,1042893
879,DSI REALTY INCOME FUND IX,764586
880,DSI REALTY INCOME FUND VI,318835
881,DSI REALTY INCOME FUND VII,719581
882,DSI REALTY INCOME FUND VIII,743366
883,DSI REALTY INCOME FUND X,792989
884,DSI REALTY INCOME FUND XI,844048
885,DSP GROUP INC /DE/,915778
886,DST SYSTEMS INC,714603
887,DTE ENERGY CO,936340
888,DUCOMMUN INC /DE/,30305
889,DUKE REALTY CORP,783280
890,DUN & BRADSTREET CORP/NW,1115222
891,DUPONT E I DE NEMOURS & CO,30554
892,DURECT CORP,1082038
893,DUSA PHARMACEUTICALS INC,879993
894,DXP ENTERPRISES INC,1020710
895,DYAX CORP,907562
896,DYCOM INDUSTRIES INC,67215
897,DYNACQ HEALTHCARE INC,890908
898,DYNAMIC MATERIALS CORP,34067
899,DYNAMICS RESEARCH CORP,30822
900,DYNAVAX TECHNOLOGIES CORP,1029142
901,"DIGITAL REALTY TRUST, INC.",1297996
902,"DREAMWORKS ANIMATION SKG, INC.",1297401
903,E DIGITAL CORP,886328
904,E TRADE FINANCIAL CORP,1015780
905,EAGLE BANCORP INC,1050441
906,EAGLE FINANCIAL SERVICES INC,880641
907,EAGLE MATERIALS INC,918646
908,EARTHLINK INC,1102541
909,EAST WEST BANCORP INC,1069157
910,EASTERN CO,31107
911,EASTERN VIRGINIA BANKSHARES INC,1047170
912,EASTGROUP PROPERTIES INC,49600
913,EASTMAN CHEMICAL CO,915389
914,EATON CORP,31277
915,EATON VANCE CORP,350797
916,EBAY INC,1065088
917,EBIX INC,814549
918,ECHELON CORP,31347
919,ECHOSTAR COMMUNICATIONS CORP,1001082
920,ECHOSTAR DBS CORP,1042642
921,ECOLAB INC,31462
922,ECOLOGY & ENVIRONMENT INC,809933
923,EDAC TECHNOLOGIES CORP,772572
924,EDGAR ONLINE INC,1080224
925,EDGEWATER TECHNOLOGY INC/DE/,1017968
926,EDIETS COM INC,1094058
927,EDUCATION MANAGEMENT CORPORATION,880059
928,EDUCATIONAL DEVELOPMENT CORP,31667
929,EDWARDS LIFESCIENCES CORP,1099800
930,EGAIN COMMUNICATIONS CORP,1066194
931,EL PASO CORP/DE,1066107
932,EL PASO ELECTRIC CO /TX/,31978
933,EL PASO NATURAL GAS CO,31986
934,ELECTRIC CITY CORP,1065860
935,ELECTRO RENT CORP,32166
936,ELECTRO SCIENTIFIC INDUSTRIES INC,726514
937,ELECTRONIC ARTS INC,712515
938,ELECTRONICS FOR IMAGING INC,867374
939,ELITE PHARMACEUTICALS INC /DE/,1053369
940,ELIZABETH ARDEN INC,95052
941,ELOYALTY CORP,1094348
942,EMC CORP,790070
943,EMC INSURANCE GROUP INC,356130
944,EMCLAIRE FINANCIAL CORP,858800
945,EMCOR GROUP INC,105634
946,EMCORE CORP,808326
947,EMERITUS CORP\WA\,1001604
948,EMERSON ELECTRIC CO,32604
949,EMERSON RADIO CORP,32621
950,EMISPHERE TECHNOLOGIES INC,805326
951,EMMIS COMMUNICATIONS CORP,783005
952,EMPIRE DISTRICT ELECTRIC CO,32689
953,EMTEC INC/NJ,5117
954,EMULEX CORP /DE/,350917
955,ENCORE CAPITAL GROUP INC,1084961
956,ENCORE WIRE CORP /DE/,850460
957,ENDEAVOUR INTERNATIONAL CORP,1112412
958,ENDO PHARMACEUTICALS HOLDINGS INC,1100962
959,ENDOLOGIX INC /DE/,1013606
960,ENDURANCE SPECIALTY HOLDINGS LTD,1179755
961,ENERGEN CORP,277595
962,ENERGIZER HOLDINGS INC,1096752
963,ENERGY CONVERSION DEVICES INC,32878
964,ENERGY PARTNERS LTD,750199
965,ENERGY WEST INC,43350
966,ENGLOBAL CORP,933738
967,"ENNIS, INC.",33002
968,ENOVA SYSTEMS INC,922237
969,ENPRO INDUSTRIES INC,1164863
970,ENTEGRIS INC,1101302
971,ENTERCOM COMMUNICATIONS CORP,1067837
972,ENTERGY ARKANSAS INC,7323
973,ENTERGY CORP /DE/,65984
974,ENTERGY MISSISSIPPI INC,66901
975,ENTERGY NEW ORLEANS INC,71508
976,ENTERPRISE BANCORP INC /MA/,1018399
977,ENTERPRISE FINANCIAL SERVICES CORP,1025835
978,ENTRAVISION COMMUNICATIONS CORP,1109116
979,ENTREMED INC,895051
980,ENVIRONMENTAL REMEDIATION HOLDING CORP,799235
981,ENVIRONMENTAL TECTONICS CORP,33113
982,ENZO BIOCHEM INC,316253
983,EOG RESOURCES INC,821189
984,EON COMMUNICATIONS CORP,1084752
985,EPIQ SYSTEMS INC,1027207
986,EPLUS INC,1022408
987,EPOCH HOLDING CORP,351903
988,EQUIFAX INC,33185
989,EQUINIX INC,1101239
990,EQUITABLE RESOURCES INC /PA/,33213
991,EQUITY LIFESTYLE PROPERTIES INC,895417
992,EQUITY ONE INC,1042810
993,EQUUS II INC,878932
994,ERESEARCHTECHNOLOGY INC /DE/,1026650
995,ERIE INDEMNITY CO,922621
996,ERP OPERATING LTD PARTNERSHIP,931182
997,ESB FINANCIAL CORP,872835
998,ESCALADE INC,33488
999,ESCALON MEDICAL CORP,862668
1000,ESCO TECHNOLOGIES INC,866706
1001,ESPEED INC,1094831
1002,ESPEY MFG & ELECTRONICS CORP,33533
1003,ESSEX PROPERTY TRUST INC,920522
1004,ESTEE LAUDER COMPANIES INC,1001250
1005,ESTERLINE TECHNOLOGIES CORP,33619
1006,ETHAN ALLEN INTERIORS INC,896156
1007,EURONET WORLDWIDE INC,1029199
1008,EVANS & SUTHERLAND COMPUTER CORP,276283
1009,EVANS BANCORP INC,842518
1010,EVANS BOB FARMS INC,33769
1011,EVEREST RE GROUP LTD,1095073
1012,EVEREST REINSURANCE HOLDINGS INC,914748
1013,EVOLVING SYSTEMS INC,1052054
1014,EXACT SCIENCES CORP,1124140
1015,EXACTECH INC,913165
1016,EXAR CORP,753568
1017,EXCHANGE NATIONAL BANCSHARES INC,893847
1018,EXCO RESOURCES INC,316300
1019,EXELIXIS INC,939767
1020,EXELON CORP,1109357
1021,EXELON GENERATION CO LLC,1168165
1022,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,746515
1023,EXPONENT INC,851520
1024,EXPRESS SCRIPTS INC,885721
1025,EXTREME NETWORKS INC,1078271
1026,EXXON MOBIL CORP,34088
1027,EZCORP INC,876523
1028,"EDUCATION REALTY TRUST, INC.",1302343
1029,EXTRA SPACE STORAGE INC.,1289490
1030,F&M BANK CORP,740806
1031,F5 NETWORKS INC,1048695
1032,FACTSET RESEARCH SYSTEMS INC,1013237
1033,FAIR ISAAC CORP,814547
1034,FAIRCHILD SEMICONDUCTOR INTERNATIONAL INC,1036960
1035,FAIRPOINT COMMUNICATIONS INC,1062613
1036,FALCONSTOR SOFTWARE INC,922521
1037,FAMILY DOLLAR STORES INC,34408
1038,FAMOUS DAVES OF AMERICA INC,1021270
1039,FAR EAST ENERGY CORP,1124024
1040,FARMER BROTHERS CO,34563
1041,FARMERS & MERCHANTS BANCORP,1085913
1042,FARMERS & MERCHANTS BANCORP INC,792966
1043,FARMERS CAPITAL BANK CORP,713095
1044,FARMERS NATIONAL BANC CORP /OH/,709337
1045,FARO TECHNOLOGIES INC,917491
1046,FASTENAL CO,815556
1047,FAUQUIER BANKSHARES INC,1083643
1048,FAVRILLE INC,1285701
1049,FBL FINANCIAL GROUP INC,1012771
1050,FEDERAL AGRICULTURAL MORTGAGE CORP,845877
1051,FEDERAL EXPRESS CORP,230211
1052,FEDERAL SIGNAL CORP /DE/,277509
1053,FEDERATED DEPARTMENT STORES INC /DE/,794367
1054,FEDERATED INVESTORS INC /PA/,1056288
1055,FEDEX CORP,1048911
1056,FEI CO,914329
1057,FENTURA FINANCIAL INC,919865
1058,FERRELLGAS FINANCE CORP,922360
1059,FERRELLGAS PARTNERS FINANCE CORP,1012493
1060,FIBERSTARS INC /CA/,924168
1061,FIDELITY BANCORP INC,769207
1062,FIDELITY D & D BANCORP INC,1098151
1063,FIDELITY SOUTHERN CORP,822662
1064,FIELDPOINT PETROLEUM CORP,316736
1065,FIFTH THIRD BANCORP,35527
1066,FINANCIAL INSTITUTIONS INC,862831
1067,FINDWHAT COM INC,1094808
1068,FINISAR CORP,1094739
1069,FINISH LINE INC /IN/,886137
1070,FIRST ACCEPTANCE CORP /DE/,1017907
1071,FIRST ALBANY COMPANIES INC,782842
1072,FIRST AMERICAN CORP,36047
1073,FIRST BANCORP /NC/,811589
1074,FIRST BANCORP /PR/,1057706
1075,FIRST BANKS INC,710507
1076,FIRST BUSEY CORP /NV/,314489
1077,FIRST CAPITAL INC,1070296
1078,FIRST CASH FINANCIAL SERVICES INC,840489
1079,FIRST CENTURY BANKSHARES INC,723594
1080,FIRST CITIZENS BANC CORP /OH,944745
1081,FIRST CITIZENS BANCSHARES INC /DE/,798941
1082,FIRST CITIZENS BANCSHARES INC /TN/,719264
1083,FIRST COMMONWEALTH FINANCIAL CORP /PA/,712537
1084,FIRST COMMUNITY BANCORP /CA/,1102112
1085,FIRST COMMUNITY BANCSHARES INC /NV/,859070
1086,FIRST COMMUNITY FINANCIAL CORP,763293
1087,FIRST DATA CORP,883980
1088,FIRST DEFIANCE FINANCIAL CORP,946647
1089,FIRST EQUITY PROPERTIES INC,726516
1090,FIRST FARMERS & MERCHANTS CORP,703329
1091,FIRST FEDERAL BANCSHARES OF ARKANSAS INC,1006424
1092,FIRST FINANCIAL BANCORP /OH/,708955
1093,FIRST FINANCIAL BANKSHARES INC,36029
1094,FIRST FINANCIAL CORP /IN/,714562
1095,FIRST FINANCIAL HOLDINGS INC /DE/,787075
1096,FIRST FINANCIAL SERVICE CORP,854395
1097,FIRST FRANKLIN FINANCIAL CORP,38723
1098,FIRST HARTFORD CORP,36369
1099,FIRST HORIZON NATIONAL CORP,36966
1100,FIRST INDUSTRIAL REALTY TRUST INC,921825
1101,FIRST INTERSTATE BANCSYSTEM INC,860413
1102,FIRST KEYSTONE CORP,737875
1103,FIRST M&F CORP/MS,320387
1104,FIRST MARBLEHEAD CORP,1262279
1105,FIRST MARINER BANCORP,946090
1106,FIRST MERCHANTS CORP,712534
1107,FIRST MID ILLINOIS BANCSHARES INC,700565
1108,FIRST MIDWEST BANCORP INC,702325
1109,FIRST NATIONAL CORP /VA/,719402
1110,FIRST NATIONAL LINCOLN CORP /ME/,765207
1111,FIRST NIAGARA FINANCIAL GROUP INC,1051741
1112,FIRST NORTHERN COMMUNITY BANCORP,1114927
1113,FIRST OF LONG ISLAND CORP,740663
1114,FIRST OTTAWA BANCSHARES INC,1099668
1115,FIRST PACTRUST BANCORP INC,1169770
1116,FIRST PULASKI NATIONAL CORP,354706
1117,FIRST REPUBLIC PREFERRED CAPITAL CORP,1143834
1118,FIRST SECURITY GROUP INC/TN,1138817
1119,FIRST SOUTH BANCORP INC /VA/,1027183
1120,FIRST UNITED CORP/MD/,763907
1121,FIRST WEST VIRGINIA BANCORP INC,37049
1122,FIRSTBANK CORP,778972
1123,FIRSTCITY FINANCIAL CORP,828678
1124,FIRSTENERGY CORP,1031296
1125,FIRSTMERIT CORP /OH/,354869
1126,FISERV INC,798354
1127,FISHER COMMUNICATIONS INC,1034669
1128,FIVE STAR QUALITY CARE INC,1159281
1129,FLAGSTAR BANCORP INC,1033012
1130,FLANIGANS ENTERPRISES INC,12040
1131,FLEXSTEEL INDUSTRIES INC,37472
1132,FLEXTRONICS INTERNATIONAL LTD,866374
1133,FLIR SYSTEMS INC,354908
1134,FLORIDA POWER & LIGHT CO,37634
1135,FLORIDA POWER CORP /,37637
1136,FLOW INTERNATIONAL CORP,713002
1137,FLOWERS FOODS INC,1128928
1138,FLUOR CORP,1124198
1139,FLUSHING FINANCIAL CORP,923139
1140,FMC CORP,37785
1141,FMC TECHNOLOGIES INC,1135152
1142,FNB BANCORP/CA/,1163199
1143,FNB CORP/FL/,37808
1144,FNB CORP/NC,764811
1145,FNBH BANCORP INC,943119
1146,FONAR CORP,355019
1147,FOOT LOCKER INC,850209
1148,FORD MOTOR CO,37996
1149,FORD MOTOR CREDIT CO,38009
1150,FOREST LABORATORIES INC,38074
1151,FOREST OIL CORP,38079
1152,FORMFACTOR INC,1039399
1153,FORRESTER RESEARCH INC,1023313
1154,FORTUNE BRANDS INC,789073
1155,FORWARD AIR CORP,912728
1156,FOSSIL INC,883569
1157,FOSTER L B CO,352825
1158,FOUR OAKS FINCORP INC,1040799
1159,FPL GROUP INC,753308
1160,FRANKLIN CAPITAL CORP,812301
1161,FRANKLIN COVEY CO,886206
1162,FRANKLIN ELECTRIC CO INC,38725
1163,FRANKLIN FINANCIAL SERVICES CORP /PA/,723646
1164,FRANKLIN RESOURCES INC,38777
1165,FRANKLIN STREET PROPERTIES CORP /MA/,1031316
1166,FREEPORT MCMORAN COPPER & GOLD INC,831259
1167,FREMONT GENERAL CORP,38984
1168,FREQUENCY ELECTRONICS INC,39020
1169,FRIEDMAN BILLINGS RAMSEY GROUP INC,1209028
1170,FRIEDMAN INDUSTRIES INC,39092
1171,FRISCHS RESTAURANTS INC,39047
1172,FROZEN FOOD EXPRESS INDUSTRIES INC,39273
1173,FSI INTERNATIONAL INC,841692
1174,FTI CONSULTING INC,887936
1175,FULTON FINANCIAL CORP,700564
1176,FURNITURE BRANDS INTERNATIONAL INC,50957
1177,FUSION TELECOMMUNICATIONS INTERNATIONAL INC,1071411
1178,FX ENERGY INC,907649
1179,FELCOR LODGING TRUST INC,923603
1180,"FOUNDATION COAL HOLDINGS, INC.",1301063
1181,G&K SERVICES INC,39648
1182,GABELLI ASSET MANAGEMENT INC,1060349
1183,GAIAM INC,1089872
1184,GALLAGHER ARTHUR J & CO,354190
1185,GANNETT CO INC /DE/,39899
1186,GAP INC,39911
1187,GARDNER DENVER INC,916459
1188,GARMIN LTD,1121788
1189,GARTNER INC,749251
1190,GASCO ENERGY INC,1086319
1191,GATEWAY TAX CREDIT FUND II LTD,857115
1192,GATEWAY TAX CREDIT FUND III LTD,881716
1193,GATX CORP,40211
1194,GAYLORD ENTERTAINMENT CO /DE,1040829
1195,GCI INC,75679
1196,GEN PROBE INC,820237
1197,GENCOR INDUSTRIES INC,64472
1198,GENERAL CABLE CORP /DE/,886035
1199,GENERAL COMMUNICATION INC,808461
1200,GENERAL DYNAMICS CORP,40533
1201,GENERAL ELECTRIC CAPITAL CORP,40554
1202,GENERAL ELECTRIC CAPITAL SERVICES INC/CT,797463
1203,GENERAL ELECTRIC CO,40545
1204,GENERAL MILLS INC,40704
1205,GENERAL MOTORS ACCEPTANCE CORP,40729
1206,GENEREX BIOTECHNOLOGY CORP,1059784
1207,GENESEE & WYOMING INC,1012620
1208,GENETRONICS BIOMEDICAL CORP,1055726
1209,GENTA INC DE/,880643
1210,GENTEX CORP,355811
1211,GENTIVA HEALTH SERVICES INC,1096142
1212,GENUINE PARTS CO,40987
1213,GENVEC INC,934473
1214,GENWORTH FINANCIAL INC,1276520
1215,GEO GROUP INC,923796
1216,GEORGIA BANK FINANCIAL CORP /GA,880116
1217,GEORGIA GULF CORP /DE/,805264
1218,GEORGIA POWER CO,41091
1219,GERMAN AMERICAN BANCORP,714395
1220,GERON CORPORATION,886744
1221,GETTY REALTY CORP /MD/,1052752
1222,GFI GROUP INC.,1292426
1223,"GIBRALTAR INDUSTRIES, INC.",912562
1224,GILEAD SCIENCES INC,882095
1225,GILMAN & CIOCIA INC,914142
1226,GLACIER BANCORP INC,868671
1227,GLADSTONE CAPITAL CORP,1143513
1228,GLADSTONE COMMERCIAL CORP,1234006
1229,GLATFELTER P H CO,41719
1230,GLEN BURNIE BANCORP,890066
1231,GLOBAL INDUSTRIES LTD,895663
1232,GLOBAL POWER EQUIPMENT GROUP INC/,1136294
1233,GLOBALSCAPE INC,1112920
1234,GLOBECOMM SYSTEMS INC,1031028
1235,GLOWPOINT INC,746210
1236,GOLDEN ENTERPRISES INC,42228
1237,GOLDEN STAR RESOURCES LTD,903571
1238,GOLDFIELD CORP,42316
1239,GOLDMAN SACHS GROUP INC/,886982
1240,GOLF TRUST OF AMERICA INC,1024126
1241,GOODRICH CORP,42542
1242,GOODRICH PETROLEUM CORP,943861
1243,GOODYEAR TIRE & RUBBER CO /OH/,42582
1244,GORMAN RUPP CO,42682
1245,GOURMET GROUP INC,873540
1246,GP STRATEGIES CORP,70415
1247,GRACO INC,42888
1248,GRAFTECH INTERNATIONAL LTD,931148
1249,GRAHAM CORP,716314
1250,GRAINGER W W INC,277135
1251,GRAMERCY CAPITAL CORP,1287701
1252,GRANITE CONSTRUCTION INC,861459
1253,GRAY TELEVISION INC,43196
1254,GRAYBAR ELECTRIC CO INC,205402
1255,GRAYSON BANKSHARES INC,883758
1256,GREAT ATLANTIC & PACIFIC TEA CO INC,43300
1257,GREAT LAKES AVIATION LTD,914397
1258,GREAT PLAINS ENERGY INC,1143068
1259,GREAT SOUTHERN BANCORP INC,854560
1260,GREAT WEST LIFE & ANNUITY INSURANCE CO,744455
1261,GREEN MOUNTAIN COFFEE ROASTERS INC,909954
1262,GREENBRIER COMPANIES INC,923120
1263,GREENE COUNTY BANCSHARES INC,764402
1264,GREENHILL & CO INC,1282977
1265,GREER BANCSHARES INC,1145547
1266,GREG MANNING AUCTIONS INC,895516
1267,GREIF INC,43920
1268,GRIFFIN LAND & NURSERIES INC,1037390
1269,GRIFFON CORP,50725
1270,GROUP 1 AUTOMOTIVE INC,1031203
1271,GRUBB & ELLIS CO,216039
1272,GSE SYSTEMS INC,944480
1273,GSI LUMONICS INC,1076930
1274,GTSI CORP,850483
1275,GTX INC /DE/,1260990
1276,GUARANTY FEDERAL BANCSHARES INC,1046203
1277,GUESS INC ET AL/CA/,912463
1278,GUITAR CENTER INC,1021113
1279,GULF ISLAND FABRICATION INC,1031623
1280,GULF POWER CO,44545
1281,GULFMARK OFFSHORE INC,1030749
1282,GULFWEST ENERGY INC,813779
1283,GAMING PARTNERS INTERNATIONAL CORP,918580
1284,GOOGLE INC.,1288776
1285,"GREAT WOLF RESORTS, INC.",1294538
1286,H&R BLOCK INC,12659
1287,HAEMONETICS CORP,313143
1288,HAIN CELESTIAL GROUP INC,910406
1289,HALF ROBERT INTERNATIONAL INC /DE/,315213
1290,HALLIBURTON CO,45012
1291,HALLMARK FINANCIAL SERVICES INC,819913
1292,HALLWOOD GROUP INC,355766
1293,HAMPSHIRE GROUP LTD,887150
1294,HAMPTON ROADS BANKSHARES INC,1143155
1295,HANCOCK HOLDING CO,750577
1296,HANDLEMAN CO /MI/,314727
1297,HANGER ORTHOPEDIC GROUP INC,722723
1298,HANMI FINANCIAL CORP,1109242
1299,HANOVER CAPITAL MORTGAGE HOLDINGS INC,1040719
1300,HANSEN NATURAL CORP,865752
1301,HARDINGE INC,313716
1302,HARKEN ENERGY CORP,313478
1303,HARLEY DAVIDSON INC,793952
1304,HARLEYSVILLE GROUP INC,792013
